stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,12103.80
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,21115.49
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,37770.76
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,57740.99
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,82305.74
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,116725.34
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8388608,131941.69
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16777216,142012.42
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,33554432,147424.15
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,67108864,149848.99
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,3.00
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,6.03
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.89
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,26.35
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,52.85
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,105.31
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,210.42
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,411.88
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,29.94
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,59.03
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,118.36
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,235.23
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,472.70
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,915.18
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,1816.70
eessi,0,DEFAULT,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3438.29
