
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
128                   375.50
256                   439.50
512                   807.49
1024                  576.55
2048                 1155.65
4096                 2306.31
8192                 1430.36
16384                2740.51
32768                5223.00
65536                9242.73
131072              15054.55
262144              21309.92
524288              27471.11
1048576             31913.26
2097152             34417.28
4194304             35350.32
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       6.18
4                      12.29
8                      24.51
16                     49.78
32                     97.46
64                    190.35
128                   323.52
256                   429.93
512                   791.22
1024                  572.42
2048                 1146.41
4096                 2293.15
8192                 1480.39
16384                2822.89
32768                5291.76
65536                9441.63
131072              15242.64
262144              21477.94
524288              27538.92
1048576             32038.97
2097152             34502.53
4194304             35489.86
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       6.26
4                      12.30
8                      25.21
16                     50.16
32                     96.00
64                    197.24
128                   364.03
256                   430.20
512                   788.72
1024                  573.31
2048                 1147.95
4096                 2302.23
8192                 1474.33
16384                2823.39
32768                5261.87
65536                9461.25
131072              15235.88
262144              21571.13
524288              27562.07
1048576             32042.22
2097152             34502.10
4194304             35505.19
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.86
2                       6.45
4                      12.82
8                      26.51
16                     54.97
32                    101.21
64                    202.72
128                   361.65
256                   442.86
512                   813.26
1024                  577.91
2048                 1159.31
4096                 2314.50
8192                 1475.19
16384                2821.92
32768                5242.28
65536                9443.79
131072              15218.63
262144              21446.72
524288              27555.44
1048576             32029.75
2097152             34492.95
4194304             35486.26

################################################################
# inter_pkg_1link_37   GCD(3,7)   tier=inter_pkg_1link   num_links=1
# Hypothesis: inter-package, 1 link, ~35 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       6.09
4                      12.35
8                      24.66
16                     49.40
32                     98.01
64                    186.59
128                   307.95
256                   429.26
512                   784.85
1024                  559.29
2048                 1134.37
4096                 2267.56
8192                 1428.48
16384                2739.32
32768                5198.26
65536                9238.44
131072              14974.94
262144              21013.70
524288              27253.03
1048576             31456.83
2097152             34013.84
4194304             35410.65
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.96
2                       6.50
4                      13.18
8                      26.42
16                     52.71
32                    100.67
64                    206.27
128                   379.05
256                   440.43
512                   806.61
1024                  567.57
2048                 1139.98
4096                 2286.58
8192                 1429.48
16384                2739.39
32768                5115.07
65536                9132.75
131072              14809.75
262144              21144.27
524288              27247.04
1048576             31762.37
2097152             34374.44
4194304             35457.82
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.66
2                       5.95
4                      12.17
8                      24.02
16                     48.58
32                     96.27
64                    193.23
128                   367.01
256                   428.20
512                   780.94
1024                  567.12
2048                 1134.03
4096                 2271.50
8192                 1428.51
16384                2739.72
32768                5194.43
65536                9237.79
131072              14987.78
262144              21169.38
524288              27364.58
1048576             31884.07
2097152             34389.46
4194304             35419.56
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.84
2                       6.37
4                      12.88
8                      25.89
16                     51.76
32                    101.69
64                    197.08
128                   373.07
256                   441.07
512                   809.87
1024                  565.51
2048                 1150.19
4096                 2304.87
8192                 1427.56
16384                2735.73
32768                5119.53
65536                9163.17
